Reading problem outline... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
With scale 21
Unpickling rounded matrices
Reading problem file... SDP_n7_LB_F_edges16partition__objective.txt.dat-s
Testing of rounded starts...
100190 / 110348 rounded to 0.1024814382289122 	 min so far 0.07922638753013052
100191 / 110348 rounded to 0.14708094117306406 	 min so far 0.07922638753013052
100192 / 110348 rounded to 0.12369526735428027 	 min so far 0.07922638753013052
100193 / 110348 rounded to 0.24515845653686882 	 min so far 0.07922638753013052
100194 / 110348 rounded to 0.27100616384018467 	 min so far 0.07922638753013052
100195 / 110348 rounded to 0.14564110591190274 	 min so far 0.07922638753013052
100196 / 110348 rounded to 0.09187516245021635 	 min so far 0.07922638753013052
100197 / 110348 rounded to 0.2314869125689274 	 min so far 0.07922638753013052
100198 / 110348 rounded to 0.13911122271359425 	 min so far 0.07922638753013052
100199 / 110348 rounded to 0.261559529826275 	 min so far 0.07922638753013052
100200 / 110348 rounded to 0.14366088777587985 	 min so far 0.07922638753013052
100201 / 110348 rounded to 0.10741706886798744 	 min so far 0.07922638753013052
100202 / 110348 rounded to 0.10857148747447984 	 min so far 0.07922638753013052
100203 / 110348 rounded to 0.08045520522218862 	 min so far 0.07922638753013052
100204 / 110348 rounded to 0.0843686453670445 	 min so far 0.07922638753013052
100205 / 110348 rounded to 0.10147519502029201 	 min so far 0.07922638753013052
100206 / 110348 rounded to 0.07922640431111799 	 min so far 0.07922638753013052
100207 / 110348 rounded to 0.20243011743612496 	 min so far 0.07922638753013052
100208 / 110348 rounded to 0.16070709445286302 	 min so far 0.07922638753013052
100209 / 110348 rounded to 0.1441640140624975 	 min so far 0.07922638753013052
100210 / 110348 rounded to 0.09528226654403292 	 min so far 0.07922638753013052
100211 / 110348 rounded to 0.1536856749091018 	 min so far 0.07922638753013052
100212 / 110348 rounded to 0.09951812473530247 	 min so far 0.07922638753013052
100213 / 110348 rounded to 0.08712591107489127 	 min so far 0.07922638753013052
100214 / 110348 rounded to 0.2501101810245642 	 min so far 0.07922638753013052
100215 / 110348 rounded to 0.21220774404494083 	 min so far 0.07922638753013052
100216 / 110348 rounded to 0.14444155224648775 	 min so far 0.07922638753013052
100217 / 110348 rounded to 0.07922642904141353 	 min so far 0.07922638753013052
100218 / 110348 rounded to 0.21486555491466963 	 min so far 0.07922638753013052
100219 / 110348 rounded to 0.1607956274853489 	 min so far 0.07922638753013052
100220 / 110348 rounded to 0.09807574681555964 	 min so far 0.07922638753013052
100221 / 110348 rounded to 0.11622185333031887 	 min so far 0.07922638753013052
100222 / 110348 rounded to 0.1936996367678112 	 min so far 0.07922638753013052
100223 / 110348 rounded to 0.121628724727813 	 min so far 0.07922638753013052
100224 / 110348 rounded to 0.09078467040064472 	 min so far 0.07922638753013052
100225 / 110348 rounded to 0.1848424127114775 	 min so far 0.07922638753013052
100226 / 110348 rounded to 0.24115768394149256 	 min so far 0.07922638753013052
100227 / 110348 rounded to 0.147207685046478 	 min so far 0.07922638753013052
100228 / 110348 rounded to 0.27230617780021865 	 min so far 0.07922638753013052
100229 / 110348 rounded to 0.0954930524184927 	 min so far 0.07922638753013052
100230 / 110348 rounded to 0.14137341180284463 	 min so far 0.07922638753013052
100231 / 110348 rounded to 0.15492105004109266 	 min so far 0.07922638753013052
100232 / 110348 rounded to 0.11418737076045933 	 min so far 0.07922638753013052
100233 / 110348 rounded to 0.08731783623395846 	 min so far 0.07922638753013052
100234 / 110348 rounded to 0.22553285599295406 	 min so far 0.07922638753013052
100235 / 110348 rounded to 0.20357190302405143 	 min so far 0.07922638753013052
100236 / 110348 rounded to 0.1799703586411868 	 min so far 0.07922638753013052
100237 / 110348 rounded to 0.15686688163536927 	 min so far 0.07922638753013052
100238 / 110348 rounded to 0.10290693046508186 	 min so far 0.07922638753013052
100239 / 110348 rounded to 0.09669220088971231 	 min so far 0.07922638753013052
100240 / 110348 rounded to 0.22220121885239458 	 min so far 0.07922638753013052
100241 / 110348 rounded to 0.10688677054852193 	 min so far 0.07922638753013052
100242 / 110348 rounded to 0.16342735713856316 	 min so far 0.07922638753013052
100243 / 110348 rounded to 0.231847941122632 	 min so far 0.07922638753013052
100244 / 110348 rounded to 0.07922641900852974 	 min so far 0.07922638753013052
100245 / 110348 rounded to 0.07950427312140361 	 min so far 0.07922638753013052
100246 / 110348 rounded to 0.19604332872307156 	 min so far 0.07922638753013052
100247 / 110348 rounded to 0.09477543039903717 	 min so far 0.07922638753013052
100248 / 110348 rounded to 0.10747661877644629 	 min so far 0.07922638753013052
100249 / 110348 rounded to 0.1324822081733645 	 min so far 0.07922638753013052
100250 / 110348 rounded to 0.08355301128238686 	 min so far 0.07922638753013052
100251 / 110348 rounded to 0.12146385418000039 	 min so far 0.07922638753013052
100252 / 110348 rounded to 0.14105423936795353 	 min so far 0.07922638753013052
