Reading problem outline... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
With scale 15
Unpickling rounded matrices
Reading problem file... SDP_n6_LB_F_edges8blind__objectivee.txt.dat-s
Testing of rounded starts...
40340 / 505163 rounded to 0.02976176182134747 	 min so far 0.021906300589080198
40341 / 505163 rounded to 0.02947568482638372 	 min so far 0.021906300589080198
40342 / 505163 rounded to 0.025507243376190085 	 min so far 0.021906300589080198
40343 / 505163 rounded to 0.023798069463161275 	 min so far 0.021906300589080198
40344 / 505163 rounded to 0.027920636466234848 	 min so far 0.021906300589080198
40345 / 505163 rounded to 0.02614699182120431 	 min so far 0.021906300589080198
40346 / 505163 rounded to 0.026350307819239038 	 min so far 0.021906300589080198
40347 / 505163 rounded to 0.02236621170554736 	 min so far 0.021906300589080198
40348 / 505163 rounded to 0.022794242037858854 	 min so far 0.021906300589080198
40349 / 505163 rounded to 0.02287324454997275 	 min so far 0.021906300589080198
40350 / 505163 rounded to 0.023920996772381423 	 min so far 0.021906300589080198
40351 / 505163 rounded to 0.0221741956063229 	 min so far 0.021906300589080198
40352 / 505163 rounded to 0.02349628376620677 	 min so far 0.021906300589080198
40353 / 505163 rounded to 0.022911531743082535 	 min so far 0.021906300589080198
40354 / 505163 rounded to 0.030470800375717255 	 min so far 0.021906300589080198
40355 / 505163 rounded to 0.027359169230867904 	 min so far 0.021906300589080198
40356 / 505163 rounded to 0.023317538869116753 	 min so far 0.021906300589080198
40357 / 505163 rounded to 0.026205394300460056 	 min so far 0.021906300589080198
40358 / 505163 rounded to 0.025624226254116353 	 min so far 0.021906300589080198
40359 / 505163 rounded to 0.029258708080780085 	 min so far 0.021906300589080198
40360 / 505163 rounded to 0.02264815370855734 	 min so far 0.021906300589080198
40361 / 505163 rounded to 0.027180366744457403 	 min so far 0.021906300589080198
40362 / 505163 rounded to 0.026433825835925236 	 min so far 0.021906300589080198
40363 / 505163 rounded to 0.02408020855358262 	 min so far 0.021906300589080198
40364 / 505163 rounded to 0.02582260848699622 	 min so far 0.021906300589080198
40365 / 505163 rounded to 0.024687760272237836 	 min so far 0.021906300589080198
40366 / 505163 rounded to 0.025876864864880087 	 min so far 0.021906300589080198
